log_date,fans_label,fans_level,uv,uv_new,avs,play,uv_active,avid_cnt
2020_0930,4,10k-100k,47336,134,11176535,1.88E+11,24826,276322
2020_0930,5,100k+,6801,12,3163979,2.80E+11,5387,76555
2020_1031,0,,19004,268,505773,2393001975,556,2953
2020_1031,1,0-100,12366341,418671,78121147,49510078178,1192906,4115426
2020_1031,2,100-1k,713447,3685,33952115,1.13E+11,159522,1273649
2020_1031,3,1k-10k,212263,941,23658286,1.75E+11,67056,736503
2020_1031,4,10k-100k,48803,114,11764958,1.97E+11,25548,298380
2020_1031,5,100k+,7085,10,3330877,2.95E+11,5608,79630
2020_1130,0,,21347,304,581600,2777557551,578,3015
2020_1130,1,0-100,12746142,404949,81273746,51225967991,1180293,4079876
2020_1130,2,100-1k,731449,3238,35504894,1.17E+11,160368,1332355
2020_1130,3,1k-10k,219612,991,24906361,1.81E+11,69245,851029
2020_1130,4,10k-100k,50161,110,12237835,2.06E+11,26046,322728
2020_1130,5,100k+,7337,15,3475780,3.09E+11,5747,80584
2020_1231,0,,24268,630,692393,3224151707,943,6367
2020_1231,1,0-100,14129480,1403628,86358514,53096401382,2573305,6172885
2020_1231,2,100-1k,751878,5006,37402921,1.21E+11,190227,1629719
2020_1231,3,1k-10k,227202,1203,26351260,1.89E+11,77001,1069779
2020_1231,4,10k-100k,51645,128,12756095,2.14E+11,27410,351384
2020_1231,5,100k+,7655,12,3656934,3.25E+11,6004,92948
2021_0131,0,,27659,556,799545,3901950888,992,5615
2021_0131,1,0-100,15171206,1413932,91886997,55307590053,2754783,7315056
2021_0131,2,100-1k,776112,6101,39761094,1.27E+11,208986,2100199
2021_0131,3,1k-10k,235359,1249,27669203,1.97E+11,82416,1067623
2021_0131,4,10k-100k,53388,130,13632378,2.27E+11,28507,459481
2021_0131,5,100k+,8008,20,3818390,3.44E+11,6240,89497
2021_0228,0,,31542,541,920681,4600049853,991,5273
2021_0228,1,0-100,15836426,698768,96631217,57720268056,1869159,6148025
2021_0228,2,100-1k,800815,4565,42016524,1.33E+11,205141,1892484
2021_0228,3,1k-10k,243558,886,29261851,2.06E+11,82433,1110343
2021_0228,4,10k-100k,54908,104,14262562,2.39E+11,28669,397276
2021_0228,5,100k+,8462,21,3995402,3.66E+11,6587,81295
2021_0331,0,,35043,518,1057193,5363699884,963,5597
2021_0331,1,0-100,16368024,546891,101763698,59920272633,1535095,5895491
2021_0331,2,100-1k,821014,4022,44025852,1.38E+11,189275,1743006
2021_0331,3,1k-10k,239348,789,30344589,2.14E+11,77755,957522
2021_0331,4,10k-100k,55332,98,14855096,2.49E+11,28182,449270
2021_0331,5,100k+,8785,12,4154018,3.84E+11,6763,99020
